policy_issue_date,premium,product,channel,benefit_period,location,pins_gender,pin_age,is_company_purchase
01/01/2021,10609.43,P6,CA,7,Srinagar,Female,65,1
01/02/2021,9620.03,P2,FI,3,Hyderabad,Male,50,0
01/03/2021,14498.98,P6,CA,7,Allahabad,Female,65,1
01/04/2021,15481.13,P1,FI,10,Ludhiana,Female,65,0
01/05/2021,9496.01,P6,CA,7,Ranchi,Female,70,0
01/06/2021,9895.64,P6,FI,10,Mumbai,Male,50,1
01/07/2021,11455.68,P6,GA,7,Ahmedabad,Male,70,1
01/08/2021,9267.51,P5,GA,999,Faridabad,Male,70,1
01/09/2021,8968.32,P4,FI,7,Ahmedabad,Male,50,0
01/10/2021,7093.91,P5,GA,7,Bhopal,Female,50,0
01/11/2021,11160.72,P2,GA,10,Aurangabad,Male,65,0
01/12/2021,12255.58,P6,CA,10,Kolkata,Female,50,0
01/01/2022,12532.06,P4,CA,7,Dhanbad,Female,50,1
01/02/2022,16354.48,P4,GA,10,Chennai,Male,65,1
01/03/2022,16333.09,P4,GA,7,Ahmedabad,Male,70,0
01/04/2022,14281.42,P4,GA,999,Vasai,Female,70,1
01/05/2022,16535.58,P1,GA,10,Ranchi,Male,50,0
01/06/2022,12982.23,P1,CA,7,Pune,Male,70,1
01/07/2022,15356.9,P2,FI,999,Nagpur,Female,50,0
01/08/2022,12200.15,P1,FI,7,Jodhpur,Female,70,0
01/09/2022,11032.2,P4,GA,3,Raipur,Male,70,1
01/10/2022,9838.14,P5,FI,3,Vasai,Male,70,0
01/11/2022,14247.01,P5,FI,7,Agra,Male,50,0
01/12/2022,12790.94,P4,FI,10,Bhopal,Female,70,0
01/01/2023,13943.34,P6,CA,3,Varanasi,Female,50,0
01/02/2023,15795.73,P4,CA,7,Vasai,Female,65,0
01/03/2023,18862.69,P1,CA,999,Nagpur,Female,65,0
01/04/2023,19130.89,P6,GA,3,Delhi,Female,50,1
01/05/2023,19023.54,P5,CA,999,Pune,Male,50,1
01/06/2023,18161.64,P5,FI,7,Madurai,Male,70,0
01/07/2023,20283.3,P4,CA,10,Ludhiana,Female,65,0
01/08/2023,13887.17,P4,GA,999,Faridabad,Female,65,1
01/09/2023,12777.44,P1,CA,999,Nashik,Female,65,1
01/10/2023,11972.45,P4,FI,3,Ranchi,Male,65,1
01/11/2023,15433.88,P6,GA,7,Bangalore,Male,70,1
01/12/2023,17757.94,P3,CA,10,Hyderabad,Male,50,1
01/01/2024,16972.11,P5,GA,3,Nagpur,Male,70,0
01/02/2024,17219.69,P1,GA,10,Faridabad,Female,70,0
01/03/2024,18549.11,P3,FI,7,Aurangabad,Female,65,1
01/04/2024,22101.19,P4,GA,999,Faridabad,Male,50,1
01/05/2024,22084.58,P7,FI,999,Agra,Male,50,0
01/06/2024,20786.31,P2,FI,7,Jodhpur,Female,70,1
01/07/2024,17068.98,P2,CA,7,Pune,Male,70,0
01/08/2024,17564.32,P3,GA,999,Kalyan,Female,50,1
01/09/2024,16435.3,P7,GA,3,Rajkot,Female,50,1
01/10/2024,16437.38,P6,GA,999,Nashik,Male,50,0
01/11/2024,18344.78,P1,CA,3,Howrah,Male,50,0
01/12/2024,18347.19,P2,FI,999,Kanpur,Female,70,0
